id,memberships
1,0
2,2
3,1
4,2
5,1
6,4
7,5
8,4
9,2
12,3
13,5
14,4
15,5
16,3
17,1
18,6
19,6
20,7
21,0
22,2
23,7
24,7
27,4
28,3
29,0
30,3
31,1
34,4
35,4
36,3
37,5
38,7
41,2
42,6
43,4
44,2
45,7
48,5
49,3
50,6
51,6
52,4
53,6
54,2
55,1
56,5
58,7
59,2
60,2
61,2
64,7
65,0
66,6
67,0
68,7
74,6
75,1
78,4
79,0
80,5
81,0
82,3
85,6
86,7
87,6
94,5
95,3
96,3
97,2
98,2
100,0
101,6
102,5
103,0
104,1
107,3
108,1
109,3
110,4
111,3
112,1
113,0
118,6
119,7
120,4
121,5
122,3
123,7
124,7
127,0
128,0
129,2
130,4
131,7
134,2
135,1
138,1
139,7
140,7
141,2
142,7
146,4
147,0
148,4
149,6
150,5
151,0
153,1
154,2
155,5
158,4
159,7
161,5
164,7
165,0
166,2
167,5
168,7
169,5
170,6
171,7
172,1
175,4
176,0
177,6
178,7
181,1
182,2
183,0
186,0
187,5
188,3
189,5
190,7
191,0
192,5
193,6
194,4
195,2
196,5
197,3
198,1
199,0
200,4
203,4
204,2
205,6
206,7
207,7
208,1
209,6
210,4
213,4
214,7
215,3
216,7
217,7
218,2
219,6
220,7
221,0
224,7
225,7
227,2
228,4
229,0
230,4
232,6
233,4
234,5
235,0
236,0
240,2
241,6
248,1
249,0
256,5
257,2
259,1
263,6
264,0
265,1
266,3
267,0
268,7
269,0
270,1
271,6
272,1
273,1
274,4
275,3
278,5
279,1
280,3
281,4
282,5
283,7
284,0
285,0
288,0
289,0
290,3
291,3
292,7
295,1
296,7
297,0
300,0
301,6
302,3
303,3
304,5
307,6
308,1
309,4
310,1
311,4
314,0
315,3
316,4
317,3
320,6
321,2
322,5
323,1
324,1
327,1
328,6
329,6
330,0
331,4
334,4
335,0
336,2
337,5
338,4
341,3
342,5
345,3
346,3
347,5
348,5
349,6
350,1
351,0
352,1
353,1
356,4
357,5
358,1
360,1
362,6
363,2
366,5
367,0
368,1
369,7
370,3
371,2
372,2
373,0
374,5
377,1
378,6
379,5
380,7
381,4
382,4
384,4
385,7
386,1
387,4
392,0
393,0
396,1
397,1
398,0
399,4
400,6
403,1
404,3
407,0
408,1
409,3
410,7
411,4
414,6
415,7
418,0
419,2
420,6
421,6
422,1
425,5
426,3
429,1
430,3
433,3
434,6
436,4
437,1
438,3
439,0
440,3
444,1
445,0
446,1
449,0
452,5
453,6
454,4
455,2
456,6
459,1
460,3
461,7
462,5
466,7
467,1
473,3
474,6
480,1
481,3
482,6
488,4
489,4
491,6
492,7
493,6
494,6
495,4
498,4
499,4
500,3
501,6
502,1
503,0
504,7
505,5
506,3
507,2
508,1
509,2
510,4
513,1
514,1
515,6
516,0
519,7
520,7
521,1
524,4
525,0
526,3
529,1
530,5
531,2
532,0
533,0
536,4
537,7
538,5
539,3
540,2
543,6
547,2
548,0
549,3
550,2
555,3
556,3
557,3
558,5
559,1
560,1
561,7
562,7
563,5
564,3
567,0
568,1
569,6
576,2
577,6
580,5
581,0
582,1
583,2
584,7
585,2
586,1
587,2
588,0
591,4
592,3
593,0
594,0
596,4
599,7
600,5
603,2
604,5
605,4
606,3
607,5
610,6
611,7
612,2
613,5
617,7
618,2
619,6
620,1
625,0
626,3
627,5
628,7
629,2
633,4
634,2
635,1
638,6
641,2
642,1
643,6
650,3
651,1
652,5
653,6
654,3
656,6
659,5
660,2
661,2
662,0
663,1
669,3
670,3
672,2
675,0
676,3
677,4
680,0
681,6
682,0
683,6
684,2
687,5
688,5
689,0
690,0
691,2
693,7
697,0
698,3
701,4
704,2
705,0
706,7
707,3
708,5
709,0
710,7
711,6
712,1
716,2
717,6
718,7
719,0
720,1
726,1
727,5
729,6
730,0
731,4
735,2
736,1
737,0
741,7
742,7
743,7
744,2
749,0
750,7
751,0
752,2
753,4
754,1
755,7
757,0
758,3
759,7
760,1
761,1
764,5
765,0
766,6
771,6
772,4
775,5
776,0
777,0
778,2
779,4
780,3
781,4
782,5
783,3
786,1
787,3
788,1
789,0
796,1
797,7
800,5
801,1
804,1
805,2
806,4
807,3
808,0
809,5
810,0
818,4
819,3
820,6
826,6
827,7
828,4
829,2
830,7
831,7
832,4
833,4
834,3
835,3
838,0
841,1
842,1
843,3
844,5
845,2
846,4
847,7
848,7
852,3
855,0
856,4
857,6
858,0
859,4
862,7
865,1
866,4
867,4
868,6
869,4
870,6
871,6
873,6
874,7
875,5
876,4
877,5
880,6
881,7
882,1
883,2
884,3
887,3
888,5
889,5
890,2
891,2
892,7
