"id","label","type"
"1","nl.verhalenbank.125785","story"
"3","Da was op een keer, mijn vader was aan het visse en midden in de nacht komt d'r een grote hond anlegge. Mijn vader trok zijn mes en stak naar hem en die hond liep weg. 's Anderendaags komt d'r een man bij zijn boot met z'n gezicht helemaal in de doeke.","content"
"4","geo45259","place"
"6","Rijswijk","place"
"7","51.7984298","place"
"8","5.024160800000004","place"
"9","narration","place"
"10","geo45260","place"
"11","No name","place"
"12","52.132633","place"
"13","5.2912659999999505","place"
"17","man","keyword"
"18","hond","keyword"
"19","angst","keyword"
"20","nacht","keyword"
"21","gezicht","keyword"
"22","vader","keyword"
"23","mes","keyword"
"24","gedaante","keyword"
"25","steken","keyword"
"26","boot","keyword"
"27","mens","keyword"
"28","verband","keyword"
"29","huilen","keyword"
"30","gewond","keyword"
"31","volksgeloof","keyword"
"32","weerwolf","keyword"
"33","steek","keyword"
"34","wonden","keyword"
"35","honden","keyword"
"36","volle maan","keyword"
"37","doeken","keyword"
"38","weerwolven","keyword"
"39","mythisch wezen","keyword"
"40","mythisch dier","keyword"
"41","nl.verhalenbank.70530","story"
"42","Je vreet as een weerwolf, zeje ze vroeger.","content"
"43","geo37704","place"
"44","Bergschenhoek","place"
"45","51.9856471","place"
"46","4.5056758000001","place"
"50","spookdier","keyword"
"51","noemen","keyword"
"52","eten","keyword"
"53","uitdrukking","keyword"
"54","gezegde","keyword"
"55","dier","keyword"
"56","bijnaam","keyword"
"57","wolf","keyword"
"58","vraatzucht","keyword"
"59","verslinden","keyword"
"60","vreten","keyword"
"61","nl.verhalenbank.22377","story"
"62","21. DE WEERWOLF
Een keuter hiette Mol. Hi'j wier altied uutgescholde: ""Bierpoep. Twee emmers vol sni'jbone is nog mao wind"". Zi'j deje dat, umdat e zovöl at.
De boerenarbeider Karels ha gedaghuurd bi'j een boer en ging 's aoves van den arbeid nao huus. De maon scheen. Hi'j liep rechtoe rechtaan oaver 't veld. Daor zag e wat aankomme. Hi'j trok 't mes uut te schei.
't Was een ploeg zonder pead of man. Ze kwam met te stat op um aan. Karels sneej met 't mes oaver de stat. Toe stong Mol veur um ienplaats van de ploeg. Mol viel op de kni'je veur um neer en vroeg um toch niks te zegge. Dan zol e um een mud weit en een mud rog geve. Karels zei: ""Van ow, weerwolf, wil ik gin weit of rog. Mao bak ie mien weer een poets, dan kom ie de niet zo genadig af"". De gebeure een hot niks meer. Ien de hööibouw kochte Mol en de boer van Karels samen een wei gres. Karels en Mol zolle die same mèèie. 's Marges ginge ze de heer. 's Middags broch de vrouw van Karels een pötje ète. Mao de meid  van Mol broch met een juk een emmer vol soep en een emmer vol sni'jbone. En nog vège Mol nao 't eate met zien vingers de emmers uut en lekke die toe af. Nao 't vetrek van de vrollie stelle Mol veur te gaon slaope. Karels vetrouwe 't niet. Hi'j lei de hand op de oge en loere deur de vingers. Mol lei op de rug. Hi j kek nao Karels en mene dat dèn sliep. Toe kwam um een mol uut ten hals en liep weg. Een hötje later begonne de eewinters ien de wei de naos te drave. Karels zag hoe de mol weerum kwam en bi'j Mol ien den hals liep. Mol rekke zich uut, stong op en zei: ""Karels, ik bun slech ien odder. Ik geleuf van de hets"". En hi'j kotse bloed uut. Daornao ginge nao huus.
Karels begon weer te mèèje. Een hötje later kwam de eigenaar van de eewinters bi'j um. Dén vroeg of hi'j iemand gezien had dèn achter 't vee joeg. En hi'j nom Karels met nao de wei. daor zagge ze de reste van 't beste eewinter uut te wei ligge. Alleen nog but; 't vleis was ter af, net of een wolf 't ter afgeknaag had. Enige tied later wier Mol arg ziek. Hi'j ging dood. Niemand kon de kis opbeure waor hi'j ien lei. Hi'j was protestant. Daorum ginge ze nao den domeneer. Dén kon der ook niks aan vezette. Toe ginge ze nao de pestoor. De pestoor liep um de kis en lèze ien een boek. Hi'j had een koord ien de hand. Daor lei e waorschienlijk de boze geesten aan. Daornao konne ze de kis nor 't kerkhof brenge.","content"
"63","geo10608","place"
"64","Didam","place"
"65","51.931637","place"
"66","6.13074700000004","place"
"67","Stinissen, Hend","person unknown_gender narrator"
"70","hekserij","keyword"
"71","dood","keyword"
"72","begrafenis","keyword"
"73","dominee","keyword"
"74","boer","keyword"
"75","pastoor","keyword"
"76","geestelijke","keyword"
"77","dagloner","keyword"
"78","mol","keyword"
"79","zielendier","keyword"
"80","snijbonen","keyword"
"81","nl.verhalenbank.49656","story"
"82","Werwolve zien altied kjels of manne. Hekse altied wief of vrollie. ’n Werwolf is ’n kjel, die nou en dan gedwonge wur um zien eige te veraandere ien ’n wolf. Dorvör het ie ’n wolvepak of wolvevel nodig. Ze numen ’t duk ’t vel. Daddis èrs verstoppeld. Duk ien ’n holle knotwilg - ge wit nie in welke - of èrs aanders, woar niemes ’t zuke zal. Op ’n oavond wur zonne kjel gedwonge nor die plek te goan. En ’t pak on te trekke. Da kantie eiges nie tegehoue. Astie ’t pak onhet, is ie veraanderd ien ’n werwolf. Hé’j het grote ogen, die gloeie as vuur. Hé’j lup dan soaves rond en mik de minse bang. Of hol oander kwoad uut. Soms springt ie ’n mins, die soaves loat op stroat lup, opte rug. En dan wurtie zo zwoar, da ze ’m hos nie drage kunne. De mins, die ’m op de rug dreg, kan hos nie mer veruut. Hé’j wur doodmuuj. Hé’j is heel bang en krijst ’t duk uut van den barren engs. En hé’j zweit as ’n pjed. As de werwolf bij de huze kum, geet ie weg. Ok as ’t smèrs lich wur. Soms let ie ok alleen mar de minse schrikke. Soms zet ie ’n kiepehok los. De kiepe vliege dan krijsend weg.","content"
"83","geo35307","place"
"84","Gendt","place"
"85","51.8746119","place"
"86","5.9732173","place"
"90","lopen","keyword"
"91","verstoppen","keyword"
"92","dwingen","keyword"
"93","bang","keyword"
"94","kip","keyword"
"95","avond","keyword"
"96","vel","keyword"
"97","dragen","keyword"
"98","licht","keyword"
"99","rug","keyword"
"100","wandelen","keyword"
"101","donker","keyword"
"102","veranderen","keyword"
"103","kwaad","keyword"
"104","pak","keyword"
"105","springen","keyword"
"106","zwaar","keyword"
"107","huid","keyword"
"108","meerijden","keyword"
"109","moeten","keyword"
"110","huizen","keyword"
"111","schrik","keyword"
"112","duister","keyword"
"113","verstopt","keyword"
"114","nl.verhalenbank.13238","story"
"115","De weerwolf
Het geloof aan weerwolven was algemeen. Dit zouden mensen zijn, die een verbond met de duivel hadden. Elke nacht om dezelfde tijd kropen zij in een dierenvel en maakten voorbijgangers, reizigers, enz. aan het schrikken. Er is niets bekend dat zij andere mensen zouden doden of in het Linge moeras (vlak bij het kasteel) lokken.
Het aan de ommezijde vertelde verhaal speelt zich ongeveer 50 jaar geleden af, in de tijd van de zalmvangst. Het huis waar het gebeurd zou zijn is in de oorlog opgeblazen.
Aan de Peppelgraaf stond vroeger een huis, waar de zalmvissers samen kwamen. daar werd 's avonds gekaart. Een van de kerels ging altijd op den achtste tijd de deur uit. Zijn kameraden spraken af hem te pakken te nemen en hem de volgende dag er niet uit te laten. Ze maakten deur en raam op slot, zonder dat die man het wist. Op het achtste uur wil die kerel naar huis, maar alles zat dicht. De kerel wil met geweld er uit. Het zweet breekt hem uit en een half uurtje naderhand viel er een vel uit den schoorsteen. De kerel sprong in het vel en de kaarters naar huis! Maar een rietdekker (zekere Meeuwsen) was niet bang. Hij trok zijn mes en stak de weerwolf. Toen de weerwolf begon te bloeden, viel de kerel er weer uit en was verlost.","content"
"116","geo3064","place"
"117","Doornenburg","place"
"118","51.8899909","place"
"119","5.9996818","place"
"120","Brounts- van Overbeek, L. van","person unknown_gender narrator"
"123","huis","keyword"
"124","sluiten","keyword"
"125","deur","keyword"
"126","geweld","keyword"
"127","raam","keyword"
"128","verlossen","keyword"
"129","grap","keyword"
"130","verhaal","keyword"
"131","schoorsteen","keyword"
"132","schrikken","keyword"
"133","doden","keyword"
"134","kaarten","keyword"
"135","oorlog","keyword"
"136","kerel","keyword"
"137","duivel","keyword"
"138","vrienden","keyword"
"139","reizigers","keyword"
"140","lokken","keyword"
"141","dapperheid","keyword"
"142","moeras","keyword"
"143","verbond","keyword"
"144","bloeden","keyword"
"145","dierenvel","keyword"
"146","zalmvangst","keyword"
"147","rietdekker","keyword"
"148","nl.verhalenbank.46146","story"
"149","Rond de Neerkant woonden weerwolven. Op donkere wegen sprongen ze 's avonds bij de mensen op de rug.","content"
"150","geo32135","place"
"151","Neerkant","place"
"152","51.3684598","place"
"153","5.8667024","place"
"157","bespringen","keyword"
"158","omgeving","keyword"
"159","lastigvallen","keyword"
"160","nl.verhalenbank.127562","story"
"161","En dan was er nog zo'n mannegie dat er 's nachts uit moest. M'n grootvader heb 'm is opgewacht. Dat was ontzettend, zoals dat mannegie eruit zag. 't Was afschuwelijk om te zien. Maar kwaad dinne ze niemand. ","content"
"162","geo47276","place"
"163","Hurwenen","place"
"164","51.81147110000001","place"
"165","5.313974899999948","place"
"169","mannetje","keyword"
"170","grootvader","keyword"
"171","opwachten","keyword"
"172","'s nachts","keyword"
"173","afschuwelijk","keyword"
"174","nl.verhalenbank.125543","story"
"175","In mijn jeugd ging het verhaal van de weerwolf, da 't toen zo was, da vreemde mense zich verkleed hadde. Dan sprake ze van de weerwolf.","content"
"176","geo44798","place"
"177","Woudrichem","place"
"178","51.8170069","place"
"179","5.003750800000034","place"
"180","geo44799","place"
"184","verkleden","keyword"
"185","bangmaken","keyword"
"186","nl.verhalenbank.69945","story"
"187","D’r was uh, d’r was een keer oproer in het dorp ennuh en zei de een tegen de ander: “wat is daar?” Zei ze: “Er is iemand, de weerwolf is weer op iemand gesprongen, de weerwolf is op iemand gesprongen”. En en nou hadden ze ’n huis binnengedragen die man en er was een man helemaal overstuur. En hadden ze ‘m helpen van de kleren van de jas ontdoen. Het was winterdag had ‘n dikke jas aan en toen ze die jas nakeken zat die helemaal vol grote grove beestenharen. Alsof een nou wolf of wat dan ook voor een beest was. Hij zei: “de weerwolf is op me gesprongen”. Het was ‘s avonds daar kwam die van Schinnen naar Sweikhuizen toe. ","content"
"191","jas","keyword"
"192","haren","keyword"
"193","beestenharen","keyword"
"194","nl.verhalenbank.126825","story"
"195","Er waren toen die tijd ook weerwolven, dat waren plaaggeesten. Ze
deden niks, maar wanneer je laat op de weg kwam, dan kwam je
er nogal eens eentje tegen. Dat ging zo. Ze zaten meestal op een
eenzaam pad of onder een heg. Kwam jij daar, dan lieten ze je eerst
voorbijgaan en dan vlak achter kwamen ze je nalopen op handen
en voeten en in een berehuid. Die mensen moesten dat doen en ze
kwamen daar niet van af, of die huid moest door een ander vernietigd
worden. Of hij moest in een gevecht raken en wanneer hij dan
't dan verloor, dan was zo'n man van het weerwolven af. Daar weet
ik nog een mooi verhaal van. Een zeker iemand hier had z'n liefje
in een dorp in de buurt. Fietsen was er toen nog niet bij, dus alles
met de benenwagen. Maar op z'n terugkomst kwam hij de weerwolf
tegen en dat was iedere week zo. Nu was die jongen niet bang uitgevallen.
Toen die tijd, als zo iets gebeurde, gingen de meesten op de
loop door slop en sloot. Als ze de weerwolf maar kwijt waren. Maar
die persoon was voor geen kleintje vervaard. Hij zegt: ""De volgende
week, als hij me weer nakomt, dan probeer ik hem"". En ja hoor,
de volgende week, meneer de weerwolf was weer present. Hij was
nog maar enkele passen voorbij of hij werd weer gevolgd. Hij draait
z'n eigen om en hij zegt: ""Nou maat, we zullen mekaar eerst maar
eens proberen"". De weerwolf gaat overend en hij was precies een
beer. En pak an, dat werd een gevecht van jewelste. Maar eindelijk
moest de beerwolf het onderspit delven en toen kwam er een menselijke
stem uit en die zèi: ""Schei maar uit, Jan, ik ben het en ik ben
blij dat je gewonnen hebt, want nou ben ik er.van af'.","content"
"196","geo46216","place"
"197","Brakel","place"
"198","51.8186409","place"
"199","5.093498299999965","place"
"200","geo46217","place"
"204","beer","keyword"
"205","vernietigen","keyword"
"206","vechten","keyword"
"207","nl.verhalenbank.127517","story"
"208","Weerwolven die liepen hier met bosjes, maar ik heb ze nooit gezien. ","content"
"209","geo47228","place"
"210","Drunen","place"
"211","51.6869459","place"
"212","5.13775099999998","place"
"216","zien","keyword"
"217","bosjes","keyword"
"218","nl.verhalenbank.72823","story"
"219","Weerwolven, da was een soort da liep op z'n achterpoten. 't Had een witte huid met zwarte plekken om van een koe. ""De weerwolf is buiten!"" Da waren mensen! Ik heb m'n opa horen zeggen: ""Iemand kwam van boven 't Gat vandaan die was wezen vissen. Toen kwam de weerwolf met een koeiehuid om. Die legde z'n poten op de schouders van de visser. De visser gaf 'm een pak ransel en stak met een mes. En de volgende dag liep die man in 't verband. Toen kwam hij aan 't licht.","content"
"220","geo44505","place"
"221","5.00375080000003","place"
"222","geo44506","place"
"223","5.29126599999995","place"
"227","dag","keyword"
"228","zwarte","keyword"
"229","poten","keyword"
"230","witte","keyword"
"231","buiten","keyword"
"232","vissen","keyword"
"233","visser","keyword"
"234","gat","keyword"
"235","ransel","keyword"
"236","wolven","keyword"
"237","nl.verhalenbank.126095","story"
"238","Ja, dat was P. uit 't Kuilenborgse Veld, dat was ok een weerwolf. Zo'n veertig jaar geleje, as jonges, dan ginge ze staan roepe en schreeuwe. ,,Kom d'r is uit''. Maar hij kwam niet. Ik ree op een nacht door 't Kuilenburgse Veld. Toen lag daar een grote herdershond, een blauwe herdershond. Hij lee met z'n kop op z'n voorpote. Ik passeerde 'm. Ik keek om en hij keek om. Ik denk, as d'r nou weervolve bestaan, dat is dat een weerwolf.","content"
"242","groot","keyword"
"243","blauw","keyword"
"244","herdershond","keyword"
"245","nl.verhalenbank.70651","story"
"246","Ik heb is een zomer an 't hooie geweest met een boeredaggelder en die vertelde me, z'n vader hè, die heette Piet de Rottekeutel, tenminste zo werd ie genoemd en die was de weerwolf wel is tegegekomme. Dat was een grote zwarte hond. Dat beurde halverwege de Eiterse Steeg. Die grote zwarte hond sprong uit de linkse sloot passeerde voor 'm en dook toen weer in de sloot an de rechtse kant. Die daggelder vertelde me dat zo iets meestentijds overkwam an mense die veel vloekte. Z'n vader dee daar ok nog wel is an.","content"
"247","geo40466","place"
