"id","source","target","label"
"1","1","2","title"
"2","1","3","content"
"3","1","4","place"
"4","4","5","title"
"5","4","6","pointLatitude"
"6","4","7","pointLongitude"
"7","4","8","role"
"8","1","9","person"
"11","9","12","profession"
"12","1","13","keyword"
"13","1","14","keyword"
"14","1","15","keyword"
"15","1","16","keyword"
"16","1","17","keyword"
"17","1","18","keyword"
"18","1","19","keyword"
"19","1","20","keyword"
"20","1","21","keyword"
"21","1","22","keyword"
"22","23","24","title"
"23","23","25","content"
"24","23","26","content"
"25","23","27","place"
"26","27","28","title"
"27","27","29","pointLatitude"
"28","27","30","pointLongitude"
"29","27","8","role"
"30","23","31","person"
"33","23","34","keyword"
"34","23","14","keyword"
"35","23","20","keyword"
"36","23","35","keyword"
"37","23","36","keyword"
"38","37","38","title"
"39","37","39","content"
"40","37","40","content"
"41","37","41","place"
"42","41","42","title"
"43","41","43","pointLatitude"
"44","41","44","pointLongitude"
"45","41","8","role"
"46","37","45","person"
"49","45","48","place"
"50","48","49","title"
"51","48","50","pointLatitude"
"52","48","51","pointLongitude"
"53","37","52","keyword"
"54","37","14","keyword"
"55","37","20","keyword"
"56","37","53","keyword"
"57","37","54","keyword"
"58","55","56","title"
"59","55","57","content"
"60","55","58","place"
"61","58","28","title"
"62","58","59","pointLatitude"
"63","58","60","pointLongitude"
"64","58","8","role"
"65","55","61","person"
"68","61","58","place"
"69","55","64","keyword"
"70","55","14","keyword"
"71","55","20","keyword"
"72","55","65","keyword"
"73","55","66","keyword"
"74","67","68","title"
"75","67","69","content"
"76","67","70","content"
"77","67","27","place"
"78","67","31","person"
"81","67","52","keyword"
"82","67","14","keyword"
"83","67","20","keyword"
"84","67","53","keyword"
"85","67","54","keyword"
"86","74","75","title"
"87","74","76","content"
"88","74","77","content"
"89","74","78","place"
"90","78","79","title"
"91","78","80","pointLatitude"
"92","78","81","pointLongitude"
"93","78","8","role"
"94","74","82","person"
"97","82","85","profession"
"98","74","52","keyword"
"99","74","14","keyword"
"100","74","20","keyword"
"101","74","53","keyword"
"102","74","54","keyword"
"103","86","87","title"
"104","86","88","content"
"105","86","89","content"
"106","86","4","place"
"107","86","9","person"
"111","86","19","keyword"
"112","86","14","keyword"
"113","86","94","keyword"
"114","86","20","keyword"
"115","86","95","keyword"
"116","86","96","keyword"
"117","97","98","title"
"118","97","99","content"
"119","97","100","place"
"120","100","101","title"
"121","100","102","pointLatitude"
"122","100","103","pointLongitude"
"123","100","8","role"
"124","97","104","person"
"127","97","107","keyword"
"128","97","19","keyword"
"129","97","14","keyword"
"130","97","20","keyword"
"131","97","108","keyword"
"132","97","109","keyword"
"133","110","111","title"
"134","110","112","content"
"135","110","4","place"
"136","4","113","role"
"137","110","9","person"
"141","110","118","keyword"
"142","110","14","keyword"
"143","110","119","keyword"
"144","110","19","keyword"
"145","110","120","keyword"
"146","110","20","keyword"
"147","110","121","keyword"
"148","110","122","keyword"
"149","123","124","title"
"150","123","125","content"
"151","123","126","content"
"152","123","127","place"
"153","127","128","title"
"154","127","129","pointLatitude"
"155","127","130","pointLongitude"
"156","127","8","role"
"157","123","131","person"
"160","123","52","keyword"
"161","123","14","keyword"
"162","123","20","keyword"
"163","123","53","keyword"
"164","123","54","keyword"
"165","134","135","title"
"166","134","136","content"
"167","134","137","content"
"168","134","138","place"
"169","138","139","title"
"170","138","140","pointLatitude"
"171","138","141","pointLongitude"
"172","138","8","role"
"173","134","142","person"
"176","142","12","profession"
"177","142","146","place"
"178","146","147","title"
"179","146","148","pointLatitude"
"180","146","149","pointLongitude"
"181","134","118","keyword"
